occurrence	severity	id	file	line	column	message
99	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_bookmark.xml	7	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
100	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_change_source.xml	7	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
101	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_chapter_list.xml	8	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
102	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_file.xml	9	5	Possible overdraw: Root element paints background `?attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
103	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_font.xml	6	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
104	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_group_manage.xml	5	5	Possible overdraw: Root element paints background `@color/background` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
105	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_group_select.xml	5	5	Possible overdraw: Root element paints background `@color/background` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
106	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_import_book.xml	7	5	Possible overdraw: Root element paints background `?attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
107	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_read_record.xml	7	5	Possible overdraw: Root element paints background `?attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
108	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_rss_read_record.xml	6	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
109	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_rss_source.xml	6	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
110	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_search_list.xml	7	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
111	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_server_select.xml	6	5	Possible overdraw: Root element paints background `@color/background` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
112	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_text.xml	7	5	Possible overdraw: Root element paints background `?attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
113	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/item_txt_toc_rule.xml	7	5	Possible overdraw: Root element paints background `?android:attr/selectableItemBackground` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
114	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/popup_keyboard_tool.xml	8	5	Possible overdraw: Root element paints background `@color/background_card` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
115	Warning	Overdraw	/Users/back/legado/app/src/main/res/layout/view_book_page.xml	8	5	Possible overdraw: Root element paints background `@color/background` with a theme that also paints a background (inferred theme is `@style/AppTheme.Light`)
116	Warning	UnusedResources	/Users/back/legado/app/src/main/res/layout/dialog_progressbar_view.xml	2	1	The resource `R.layout.dialog_progressbar_view` appears to be unused
117	Warning	UnusedResources	/Users/back/legado/app/src/main/res/values/strings.xml	196	13	The resource `R.string.del_all` appears to be unused
118	Warning	UselessParent	/Users/back/legado/app/src/main/res/layout/view_manga_menu.xml	85	10	This `LinearLayout` layout or its `LinearLayout` parent is unnecessary; transfer the `background` attribute to the other view
119	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/icon_read_book.png			Found bitmap drawable `res/drawable/icon_read_book.png` in densityless folder
120	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/image_cover_default.jpg			Found bitmap drawable `res/drawable/image_cover_default.jpg` in densityless folder
121	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/image_legado.png			Found bitmap drawable `res/drawable/image_legado.png` in densityless folder
122	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/image_loading_error.png			Found bitmap drawable `res/drawable/image_loading_error.png` in densityless folder
123	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/image_rss.jpg			Found bitmap drawable `res/drawable/image_rss.jpg` in densityless folder
124	Warning	IconLocation	/Users/back/legado/app/src/main/res/drawable/image_rss_article.jpg			Found bitmap drawable `res/drawable/image_rss_article.jpg` in densityless folder
125	Warning	IconDuplicates	/Users/back/legado/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png			The following unrelated icon files have identical contents: image_legado.png, ic_launcher.png
125	Warning	IconDuplicates	/Users/back/legado/app/src/main/res/drawable/image_legado.png			The following unrelated icon files have identical contents: image_legado.png, ic_launcher.png
126	Hint	ReportShortcutUsage	/Users/back/legado/app/src/main/java/io/legado/app/api/ShortCuts.kt	54	9	Calling this method indicates use of dynamic shortcuts, but there are no calls to methods that track shortcut usage, such as `pushDynamicShortcut` or `reportShortcutUsed`. Calling these methods is recommended, as they track shortcut usage and allow launchers to adjust which shortcuts appear based on activation history. Please see https://developer.android.com/develop/ui/views/launch/shortcuts/managing-shortcuts#track-usage
